program,run,latency_s
arith_loop,1,0.00032853999437065795
arith_loop,2,0.0003377209941390902
arith_loop,3,0.00032927100255619735
arith_loop,4,0.00031011999817565084
arith_loop,5,0.00029820099734934047
arith_loop,6,0.00027640999905997887
arith_loop,7,0.0002857209983631037
arith_loop,8,0.0002997310002683662
arith_loop,9,0.00021157100127311423
arith_loop,10,0.00027434100047685206
sqrt_chain,1,9.842000144999474e-05
sqrt_chain,2,8.591000369051471e-05
sqrt_chain,3,8.192999666789547e-05
sqrt_chain,4,9.86600061878562e-05
sqrt_chain,5,9.363000572193414e-05
sqrt_chain,6,5.932999920332804e-05
sqrt_chain,7,8.687000081408769e-05
sqrt_chain,8,5.966999742668122e-05
sqrt_chain,9,8.645100024295971e-05
sqrt_chain,10,7.886100502219051e-05
mult_split,1,2.0270003005862236e-05
mult_split,2,1.7309997929260135e-05
mult_split,3,2.4610002583358437e-05
mult_split,4,2.2319996787700802e-05
mult_split,5,2.4369997845496982e-05
mult_split,6,1.92299994523637e-05
mult_split,7,1.9430000975262374e-05
mult_split,8,2.336000034119934e-05
mult_split,9,2.3130000045057386e-05
mult_split,10,2.694100112421438e-05
